Story intro,Story number,Wikipedia concepts,longitude,latitude
Title: Potatos. Event: Story begin. Description: The MOVING reference member state of this VC is NMK. The reference MOVING Card ID of this VC is VC 08 NMK. Mainly private individuals and families dealing with the agriculutre. .,192,innovation; bed; republic; year; berovo; gross value added; technology; employment; bregalnica; marketing; number; population density; strumica; catering; per capita income,21.716669444444445,41.65
Title: Traditional potato from Olaszfalu. Event: Story begin. Description: The MOVING reference member state of this VC is HUNGARY. The reference MOVING Card ID of this VC is VC 09 HU. Traditional production of potato with special local varieties; produced by small farmers; integrated by one larger ones; marketed through both short and long supply chains (in Hungary and abroad). SES - maintain traditional; more sustainable ways of production; rural lifestyle; landscape. Producing high quality; sustainable food.,121,bed; leader; draughts; olaszfalu; year; municipality; logistics; soil; hungary; transdanubian mountains; reference; agriculture; number; mountain; population density; potato; weather; zirc; tradition; village; economies of scale; innovation; town; gross value added; technology; employment; community; veszprém county; marketing; veszprém; infrastructure; plant; per capita income; landscape,19.0,47.0
Title: Olive oil Protected Designation of Origin Sierra de Segura. Event: Story begin. Description: The MOVING reference member state of this VC is SPAIN ADEGUA. The reference MOVING Card ID of this VC is VC 10 ES. The Virgin Olive Oil certified by the DO Sierra de Segura is obtained from the fruit of the Picual; Verdala; Royal; and Manzanillo de Jaén olive varieties. The fruit is harvested with little mechanisation in a staggered period between mid-October and mid-February. Average production in the area exceeds 20 million kilograms of olive oil. A total of 8000 producers are linked to the Designation of Origin; as well as 52 registered entities and authorised brands.,337,spain; altitude; picual; year; fruit; cazorla; reference; villarrodrigo; mountain; segura; population density; oil; protected area; irrigation; olive oil; benatae; olive grove; park; combination; addition; innovation; biodiversity; february; gross value added; orcera; employment; cádiz; marketing; andalusia; per capita income; october; governance,-3.5,40.2
Title: Murauer Heumilch (transl.: hay milk). Event: Story begin. Description: The MOVING reference member state of this VC is AUSTRIA. The reference MOVING Card ID of this VC is VC 09 AT. The hay milk is produced by organic farmers; who supply to the regional diary. The dairy processes it to a very big range of dairy products; which are then exclusively sold under the Label 'Zurück zum Ursprung' throughout Austria in supermarkets. The supermarket chain owns the brand; quality control is done according the EU and Austrian regulations for organic products by public authorities. The brand-specific quality criteria have been set up in cooperation with a consultancy; which also controls the compliance with these criteria; which embrace the following issues: regionality; animal welfare; transparency; environmental protection; food quality; GM free; fairness for farmers; fairness for consumers. Furthermore; the added value for the region is calculated by the independent research institute for organic farming. The calculation model analyzes the possible added value for a region that can result from the production and marketing of food in Austria.,9,bed; alps; animal welfare; grazing; carinthia; year; north; murau; styria; sea; research; sales; supermarket; reference; number; mountain; population density; mosaic; product differentiation; organic milk; innovation; hay; biodiversity; nature; milk; tree; cattle; gross value added; employment; food; grassland; certification; salzburg; marketing; trade; central europe; per capita income; risk; institute; austria; strategy; dairy; approx; governance,14.0,48.0
Title: Forest adventure experience in Csesznek. Event: Story begin. Description: The MOVING reference member state of this VC is HUNGARY. The reference MOVING Card ID of this VC is VC 12 HU. Active tourism; cycling; walking; climbing; via ferrata routes; adventure parks (new tourist attraction) combined with catering; accommodation; equipment rental and selling local products. Actors are local service providers; adventure tour associations and circles; forest managers. These activities allow for the spreading of knowledge about nature; for active and healthy tourism and can also generate income for local people. However; there are important conflicts too.,124,bed; forest; year; north; tourism; cycling; social distancing; hungary; transdanubian mountains; reference; csesznek; number; mountain; population density; walking; weather; zirc; excursion; village; park; knowledge; innovation; nature; bakony; gross value added; employment; people; veszprém county; via ferrata; system; per capita income; overtourism; visitor; providers; landscape,19.0,47.0
Title: honey - Miels de Corse-Mele di Corsica - PDO. Event: Story begin. Description: The MOVING reference member state of this VC is FRANCE INRAE. The reference MOVING Card ID of this VC is VC 07 FR. The beekeeping activity is guided by the body responsible for managing the PDO. But other organizations bring together other professional and non-professional beekeepers outside the PDO. Which have different visions of the profession and management systems. A major challenge is to design public action adressed to the activity for the services provided by beekeeping to the environment and the damage it suffers due to the weakening of resources and the production of honey.However; the value of Corsican honeys is linked to the range of PDO honeys and therefore to the preservation of the diversity of natural environments today weakened by climate change.,79,bed; damage; altitude; pollen; year; taste; north; flora; value chain; vegetation; thyme; hungary; reference; number; mountain; population density; czech republic; corsica; honey; france; definition; potential; italy; professionalization; innovation; broom; gross value added; employment; crete; transhumance; marketing; management; cynips; per capita income; austria; landscape; governance,2.0,47.0
Title: Organic Farming. Event: Story begin. Description: The MOVING reference member state of this VC is SKANDINAVIAN UCO. The reference MOVING Card ID of this VC is VC 20 SCA. In this VC; producers; teachers; students and consumers are involved with different and complementary roles. This college has been boosting organic food production in Norway. All organic productions and markets must be certified by the national label Debio. The VC depends firstly on the natural ecosystem which offers the conditions for developing specific farming practices and productions. In addition; this VC has a lot to do with the social cohesion; cooperation and communication among farmers; academia; public administration and consumers.,313,college; bed; scandinavian mountains; education; role; ecosystem; year; sour cream; research; cheese; reference; number; mountain; population density; livestock; organic food; west; farm; knowledge; innovation; nærøyfjord; butter; cattle; gross value added; employment; community; grassland; aurland; sogn; norway; per capita income; stjørdal,14.76093611111111,64.77964194444445
Title: The rural butchery. Event: Story begin. Description: The MOVING reference member state of this VC is ITALY UNIMOL and UNIPI. The reference MOVING Card ID of this VC is VC 18 IT. In 1985 the Savigni started a butcher's shop and after a short time they realized that it was necessary to open a farm in order to have quality meat. In 2004 a cured meat factory was also created with the idea of having a controlled supply chain.,151,bed; japan; year; north; tuscany; reference; number; east; mountain; population density; umbria; farm; bollo; pistoia; italy; innovation; town; gross value added; employment; demand; certification; finocchiona; marketing; chianina; meat; per capita income; sambuca pistoiese; animal; institute; lake; tutela; landscape,12.5,42.5
Title: Special types of chestnut trees for candied which is at the east of the zmir on Bozda Mountains. Event: Story begin. Description: The MOVING reference member state of this VC is TURKEY. The reference MOVING Card ID of this VC is VC 08 TR. Turkey is among the world's leading producers and exporters of chestnuts (Castanea sativa). Turkey ranks 2nd in the world export quantity (14383 tonnes); 4th in the world production (72655 tonnes) (FAO; 2019). The pick up activity of chestnuts is done by small family farms using with special pole/stake while the rosted; peeled and candied process is done by cooperatives and firms; with specific rules. The perspectives of the product bring together the farmers; the local government; cooperatives; the local catering and tourism; and small firms of standardization; packaging; promotion and marketing.,442,bed; lar river; candy; year; taste; portugal; value chain; tourism; reference; agriculture; number; integrity; mountain; population density; world; problem; province; greece; france; e-commerce; resort; export; italy; küçük menderes river; innovation; disease; gastronomy; gross value added; employment; marketing; turkey; per capita income; river,36.0,39.0
Title: ALMO alp oxen. Event: Story begin. Description: The MOVING reference member state of this VC is AUSTRIA. The reference MOVING Card ID of this VC is VC 01 AT. ALMO is a label for quality ox products and the lead product of the region. 'ALMO' (Almo Steirisches Almochsenfleisch) is protected as word mark. The Association Steirische Bergland Marktgemeinschaft comprises approx. 500 farmers; who own the brand; and raise ca. 3.000 oxen per year ALMO is marketed via Almenland Marketing GmbH; only three retail partners are allowed to sell ALMO; but nearly all regional restaurants offer the meat. All farmers participate in the Austrian Program for Environmentally Sound Agriculture (ÖPUL); 10 % are organic. Close connection to regional development and relevance for (agro-)tourism (Urlaub am Bauernhof) positive impacts Lead product of the 'Genussregion Almenland' ( region of culinary delight : promoting local food specialities; quality standards set by the AgrarMarkt Austria). The cooperation between the farmers association and business partners is on eye level; and implies unusual contracts; such as guaranteed prices independent from the market prices. Moreover; quality standards are developed in cooperation between farmers and business partners.,1,bed; alps; role; gleisdorf; animal welfare; year; carinthia; weiz; value chain; tourism; butcher; vegetation; winter; beef; house; building; number; population density; phyllite; limestone; lower austria; weather; tradition; europe; pasture; slate; sheep; cooperation; knowledge; innovation; rain; business; implementation; regional development agency; gross value added; climate; employment; greywacke; marketing; system; stable; meat; per capita income; austria; time; landscape,14.0,48.0
